name,roi,date_event,time_event,team_home,team_away,rate,header,forecast,like,dislike,date_publish
"Дарья Миронова",-0.71%,"12 июл",23:30,"Нью-Йорк Ред Буллз","Цинциннати",1.47,"ТОТАЛ БОЛЬШЕ (2)","Лидер Востока и лиги по очкам, 45, ФК ""Цинциннати"" встречается с командой, которая еще надеется на место в плей-офф, но пока проваливает регулярку. 

В прошлом сезоне ""Нью Йорк"" подошёл к плей-офф на четвертом месте. Тяжелый старт нынешнего сезона обусловлен сменой менеджмента. В 11 первых играх ""Буллс"" одержали лишь одну победу, но успели набрать 9 очков. Очередная смена тренера дала позитивное движение. В последних трех играх ""Нью Йорк"" записал на свой счет две победы. 

У ""Ред Буллс"" есть хорошие шансы зацепиться дома. С одной стороны, ""Цинциннати"" проиграл лишь два мачта из 21 в этом сезоне. С другой - ключевой защитник Мэтт Мязга все еще отсутствует из-за выступлений за сборную США, а заменяющий его Иан Мёрфи получил дисквалификацию. Также в распоряжении сборной Вазкес. Несмотря на хороший разгон, на данный момент гости не в оптимальном составе, что дает хозяевам хороший шанс. 

В последних пяти домашних матчах ""Нью Йорк"" одержал две победы, заработал одну ничью. Последние пять игр на выезде у ""Цинциннати"" две ничьи, две победы. Но вопрос результативности в этой игре стоит ребром. В стане ""Нью Йорка"" самый забивающий - Амайя с 4 голами, у ""Синси"" - Акоста с 11-ью. 

В посл...",0,0,"Сегодня в 09:05"
"Ева Ших",-19.50%,"12 июл",11:35,"Мэйчжоу Хакка","Бэйцзин Гоань",1.88,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 БОЛЬШЕ (1.5)","Всем Привет. Китай, Суперлига. Мэйчжоу Хакка на своем поле примет грозного соперника Бэйцзин Гоань. Наверно все понимают что в данном матче диктовать условия и результат будет одна команда и это точно не Хакка. Бэйцзин Гоань ту на три головы выше по всем показателям, и то чно они творят в чемпионате и сколько могут забивать всем известно, а с таким соперником и Хакка, гости должены пяток забивать и не жалеть не соперника не их болельщиков. Тут скорее всего будут голы на любой вкус и Бэйцзин Гоань на подобии прошлой встречи , где забили 5 мячей, повторит результат, ну как минимум три точно забьет, сейчас они на пике и будут отрыв делать от конкурентов. Инд 2 бол 1.5(1.88)",0,0,"Вчера в 09:27"
"Ева Ших",-19.50%,"12 июл",11:35,"Шанхай Порт","Ухань Фри Таунс",1.88,"ТОТАЛ БОЛЬШЕ (2.5)","Всем привет. Китай. Суперлига. Шанхай Порт - Ухань Фри Таунс . Не вижу смысла тут рассматривать фаворита, обе команды которые могут дать отпор и противостоять друг другу. Будет однозначно результативная игра с обеих сторон, где Ухань постарается ответить на атаку соперника и вскрыть оборону Шанхая, а Шанхай забьет не менее двух и будет играть на три очка конкурируя за первое место. Так как Ухань уже несколько сезонов творит чудеса в Суперлиге и показывает там качественный футбол, пропагандирую результативность, можно смело ожидать ровной игры против шанхай Порт и результативного матча. А с учётом низовых личек до этого у Шанхая, матч должен получиться на тотал больше. ТБ 2.5(1.88)",0,0,"Вчера в 09:36"
"Геннадий Небылица",-1.87%,"12 июл",11:35,"Шанхай Порт","Ухань Фри Таунс",1.90,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 ПО УГЛОВЫМ МЕНЬШЕ (5.5)","Футбол. Китай • Суперлига.
 Сегодня в 16 туре лидер чемпионата ""Шанхай Порт"" на своём поле принимает прошлогоднего чемпиона ""Ухань Фри Таунс"". Хозяева хорошо начали чемпионат, весело играли и много забивали, но в последних матчах притормозили, так в последних двух матчах потеряли очки, особенно была обидная домашняя ничья с после командой чемпионата ""Далянь Про"" 1:1. Прошлогодние чемпионы наоборот после не выразительного старта сейчас прибавляют в игре, так в последних пяти матчах два матча с играли в ничью и три матча победили. Сегодня будет упорная борьба и я поставлю на то что, хозяева не подадут 6 уголков.",0,0,"Сегодня в 07:46"
"Павел Крутов",+5.41%,"12 июл",11:35,"Циндао Чжуннэн","Шэньчжэнь",1.64,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 ПО УГЛОВЫМ МЕНЬШЕ (3.5)","что из себя представляют гости в этом сезоне - вообще никому не понятно. Если прошлые чемпионы с горем пополам смогли включится в гонку за лидерство и занимают вполне приемлимые места, то у гостей все как было, так грустно и осталось. Находятся на топ 3 с низу и хотябя удерживаться им очень тяжело. а между прочим, в прошлом сезоне результаты они показывали вполне неплохие. Так же в их играх уменьшилось количество угловых. что от них что общий, но взять хочу все таки именно их углы. Сегодня будет 10ый, юбилейный матч, когда гости наверняка не смогут подать много углов. а так да, 9 в ряд у них по этой ставке..",0,0,"Сегодня в 11:50"
"игорь sol885",-19.90%,"12 июл",11:35,"Циндао Чжуннэн","Шэньчжэнь",2.53,"ФОРА 1 (-1.5)","Сегодня в рамках высшего дивизиона чемпионата Китая по футболу сыграют Циндао и Шеньчжень. Встречаются соперники занимающие соседние строчки в турнирной таблице: Циндао с 10 очками на предпоследнем 15 месте, а Шеньчжень с 11 очками на 14 месте.
Циндао в двух последних матчах сыграл вничью (в гостях с Далянь Про и дома с Цачжоу) и тем самым прервал свою серию поражений. А Шеньчжень проиграл уже пять матчей подряд и не помогает даже тасовка главных тренеров, к тому же выбыли из состава оба легионера.
На мой взгляд хозяева сегодня смогут одержать уверенную победу и покинуть зону вылета и обойти в таблице своих сегодняшних соперников.",0,0,"Сегодня в 11:56"
"игорь sol885",-19.90%,"12 июл",11:35,"Шанхай Порт","Ухань Фри Таунс",2.60,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 БОЛЬШЕ (1.5)","Сегодня в рамках высшего дивизиона чемпионата Китая по футболу сыграют Шанхай Порт и Ухань Фри Таунс. После 15 сыгранных туров Шанхай пОрт набрал 34 очка и занимают первое место в турнирной таблице. А Ухань Фри Таунс набрал 23 очка и занимает седьмое место.
Шанхай Порт в среднем пропускают меньше одного мяча за игру, но в последних шести матчах с учетом кубковой игры они неизменно пропускают. Ухань Фри Таунс забивают в среднем чуть меньше двух мячей за игру. А в двух последних играх команда забила в гостях Шеньчженю три мяча и затем дома два гола Чанчунь Ятаю.
Ухань Фри Таунс сегодня постарается взять реванш за домашнее поражение и для этого будут атаковать и скорее всего смогут парочку мячей забить.",0,0,"Сегодня в 12:08"
"игорь sol885",-19.90%,"12 июл",11:35,"Мэйчжоу Хакка","Бэйцзин Гоань",2.31,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 МЕНЬШЕ (1)","Бейцзинь скорее всего выиграет и не пропустит сегодня от Майцчжоу.",0,0,"Сегодня в 12:32"
"игорь sol885",-19.90%,"12 июл",11:35,"Нантонг Жиун","Далянь Про",2.73,"ПОБЕДА 2","На мой взгляд Далянь Про вполне может сегодня одержать гостевую победу.",0,0,"Сегодня в 12:44"
"Теннисист Данила🎾",-9.66%,"12 июл",13:00,"Маврикий","Мозамбик",1.70,"ФОРА 1 (1)","Думаю разгромного результата тут не будет, скорее всего ничья или минимальная победа одной из команд.",1,0,"Вчера в 16:13"
"Орлов  Николай",+2.59%,"12 июл",13:00,"Маврикий","Мозамбик",1.78,"ФОРА 1 (1)","Африка ставка в рамках кубка Косафа сыграют между собой Маврикий и Мозамбик . Скажу что гости не такие уж и фавориты и выиграть им крупнее чем в мяч , тем более будучи выездным коллективом будет весьма трудноватенько. Да и лички вполне стабильно гости выигрывают конечно , но вот когда делл идет на выезде то играли в основное время в ничью и даже проиграли Маврикию 1:0. Считаю что заиграть тут весьма интересно Ф1(+1) как по мне то 80% стака как минимум без проигрвшная все по тому что наиболее вероятны три варианта это победа минимальная хозяев поля , ничья или так же минимальная победа гостей но никак не крупнее чем в один мяч.",1,0,"Вчера в 23:44"
"Natte Football Blog",-8.44%,"12 июл",13:00,"Ауд-Хеверле","Васланд-Беверен",1.93,"ТОТАЛ БОЛЬШЕ (3)","Бельгия чемпионат через ТБ, тут товарка, почему должно быть ТМ?",0,0,"Сегодня в 01:11"
"Рома  Егоров",-14.35%,"12 июл",13:00,"Ауд-Хеверле","Васланд-Беверен",1.59,"ОБЕ ЗАБЬЮТ (ДА)","Матч между двумя бельгийскими клубами. Хеверли конечно лучше и по игре и по составу, но в товарищеском матче могут забить обе команды. Всё-таки Беверен не совсем слабый клуб.",0,0,"Сегодня в 12:05"
"Рома  Егоров",-14.35%,"12 июл",13:00,"Херенвен","Вестерло",1.67,"ОБЕ ЗАБЬЮТ (ДА)","Здесь предположу, что обе команды забьют. Оба клуба из разных чемпионатах, но равны по игре, как по мне.",0,0,"Сегодня в 12:06"
"Oleksiy Dovzhenko",-8.07%,"12 июл",13:30,"BROKE BOYS","FC Bus",2.25,"ТОТАЛ МЕНЬШЕ (2.5)","Всем привет, разбираем матч Московского Кубка Селебрети, а именно финал сетки лузеров, где между собой встретятся Броук ,Бойз и Бас.
Дружина Алана Гатагова очень неплохо показывает себя на турнире, хотя их считали аутсайдерами и против Матч ТВ, и против Денег. И здесь они вполне могут преподнести сенсацию, но я б не рискнул на это ставить. Более разумно звучит предложение ставки на тотал меньше, ведь цена ошибки слишком велика, да и Броуки, а они будут здесь первой скрипкой, играют такие важные очень осторожно, от обороны. Поэтому берем стандартный тотал меньше и ожидаем сухого футбола",0,0,"Вчера в 22:10"
"karimka the best",-10.70%,"12 июл",13:30,"BROKE BOYS","FC Bus",4.00,"НИЧЬЯ","Думаю, что здесь нас ждет серия пенальти. Бас Гатаговых очень хорош.",0,0,"Сегодня в 02:56"
"Ева Ших",-19.50%,"12 июл",14:00,"Фейеноорд","Брюгге",1.62,"ТОТАЛ БОЛЬШЕ (2.5)","Привет. Товарищеские матчи. Фейеноорд - Брюгге. Обе команды представляют сливки чемпионата Нидерландов и Бельгии. Фейеноорд просто шикарно провел прошлый сезон, команда как всегда играла в свой атакующий футбол, атака отрабатывала от и до и закрывала своей результативностью все малейшие огрехи обороны забитыми голами. Команда ярко представляла свой чемпионат и в Европе, неплохо играла и достойно проводила игры с топ командами других чемпионатов. Брюгее крепкий клуб и многолетний лидер, команда хорошо играет как в атаке , так и в обороне, и с любыми командами высокого класса играет уверенно. Матч товарищеский и команды ведут подготовку к еврокубкам , будут замены и ошибки, думаю в данной встречи стоит ждать голов, ТБ 2.5 должен проходить.",0,0,"Вчера в 09:42"
"Van Belka",-16.54%,"12 июл",14:00,"Фейеноорд","Брюгге",1.73,"ФОРА 2 (1)","Слишком хорошая фора на товарищескую игру, результат может быть любым.",0,0,"Вчера в 11:31"
"Павел Коваленко",-10.50%,"12 июл",14:00,"Астана","Динамо Тбилиси",1.85,"ПОБЕДА 1","ФК Астана сыграет с Тбилисским Динамо в рамках Квалификационного раунда Лиги Чемпионов. Букмекеры выставили фаворитом ФК Астана и абсолютно по делу. ФК Астана более опытна в Еврокубках, добивалась больших успехов и более известна в Европе, тем более чемпионат Казахстана в самом разгаре. А что Динамо Тбилиси? Застыл на 4 строчке в чемпионате Грузии и практически не знают побед, в прошлом году уступил в Лиге Конференций скромному клубу Пайде из Эстонии. Даже если Динамо Тбилиси навяжет борьбу такому матерому сопернику, то вряд ли сможет увезти очки из Казахстана. Берем в качестве ставки П 1 за 1.85 каф.",0,0,"Вчера в 12:21"
"Роман Я из Воронежа",-17.33%,"12 июл",14:00,"Астана","Динамо Тбилиси",1.85,"ПОБЕДА 1","Ставлю на победу казахов, мне игра хозяев поля больше импонирует.",0,0,"Вчера в 12:58"
"Cursed Kiss",-32.59%,"12 июл",14:00,"Астана","Динамо Тбилиси",2.14,"ТОТАЛ БОЛЬШЕ (2.5)","Каверзный матч, с подвохом.
Не верю в Астану, но верю в голы.",0,0,"Вчера в 15:20"
"Andrew Sumenkov",+23.15%,"12 июл",14:00,"Астана","Динамо Тбилиси",1.96,"ОБЕ ЗАБЬЮТ (ДА)","Классный матч, классное противостояние, классные коллективы ждут нас завтра. Равные команда, горячие команды, могут устроить на поле что-то не вероятное, и скорее всего противостояние будет решаться в серии пенальти ну или как минимум в дополнительное время, но и без голов вряд ли выйдет, хотя, конечно, они то могут. но я думаю 1-1 будет. может что-то другое, но по голу команды могут и должны забивать. имеют не плохую игру в атаке и хорошо реализуют свою моменты, но и в обороне команды плохи, так что очень логично ждать от них голевого футбола и ни одной баранки сохраниться не должно в обоих матчах",0,0,"Вчера в 15:49"
"Алексей Алексеевич",-4.96%,"12 июл",14:00,"Астана","Динамо Тбилиси",2.14,"ТОТАЛ БОЛЬШЕ (2.5)","Астана - Динамо Тбилиси 12 июля 2023, отличный матч для проверки ""тотал больше"".",0,0,"Вчера в 18:09"
"Pavel Lonely",+8.58%,"12 июл",14:00,"Астана","Динамо Тбилиси",1.85,"ПОБЕДА 1","Конечно Астана, должны проходить здесь на классе, довольно неплохи.",0,0,"Вчера в 22:03"
"Владислав Мунтяну",-9.22%,"12 июл",14:00,"Астана","Динамо Тбилиси",1.80,"ПОБЕДА 1","Здесь по моему мнению должны побеждать казахи, т.к. они показывают офигенный футбол в рамках лиги",0,0,"Сегодня в 00:39"
"Natte Football Blog",-8.44%,"12 июл",14:00,"Астана","Динамо Тбилиси",1.79,"ОБЕ ЗАБЬЮТ (НЕТ)","Я все матчи по ЛЧ иду по низам, эта игра не является исключением",0,0,"Сегодня в 00:47"
"Я Ёж",+20.33%,"12 июл",14:00,"Астана","Динамо Тбилиси",2.90,"ТОТАЛ УГЛОВЫХ БОЛЬШЕ (11)","Что то много угловых в квалах ЛЧ 
тренд жесткий надо ловить
+ за своих буду болеть
грузины всегда были автобусные 
а Астана Арена - место крупных побед ( привет от Камбэка против Дании с 0 - 2 )
против мощного по корнерам Ордабасы в гостях было 11 и это в кубке который просто слили перед ЛЧ 

Явный ТБ скорее всего 
не вижу низы",0,0,"Сегодня в 01:01"
"Alex Holod",-7.50%,"12 июл",14:00,"Астана","Динамо Тбилиси",2.97,"ТОТАЛ МЕНЬШЕ (1.5)","У Астаны есть огромные проблемы с реализацией, Динамо попробует удержать нули",0,0,"Сегодня в 01:51"
"Илья(ExperT RB) ♋︎❻❾✅",+14.02%,"12 июл",14:00,"Астана","Динамо Тбилиси",2.48,"ФОРА 1 (-1)","Думаю, что Астана уверенно должна побеждать дома. Удачи им!",0,0,"Сегодня в 07:25"
